Estimador,Ecuación,Factor de olvido,Tamaño de ventana,Control_1_1 en validación,Control_1_1 en calibración,Control_2_1 en validación,Control_2_1 en calibración,RDI45_1_2 en validación,RDI45_2_1 en validación,RDI45_2_1 en calibración,RDI30_2_1 en validación,RDI30_3_2 en validación,RDI30_3_2 en calibración,Global en validación
LTP Max_0_1,max(LTP),0,1,-0.018505242535291008,-0.05079734142750873,-0.10211068572211891,0.029327787656005275,0.09781939845252904,0.19172517386393143,0.14198155189926187,0.6430414986323936,0.4376581758995425,0.43890903447698476,0.22250181508458977
LTP Min_0_1,min(LTP),0,1,0.2234312708778582,0.15327140882538515,0.10327706781889068,0.16202166605322055,-0.0157573777308939,0.07949050034154963,-0.20188554868725647,0.66405303404069,0.6049085825831461,0.8396273234652507,0.2887662462292737
LTP Area_0_1,mean(LTP),0,1,0.12373898718515958,0.09329391584111027,-0.06298677420408301,0.03942520378782809,0.007384158235311442,0.14716250947048468,-0.0059944955266622545,0.6806665986707492,0.6693797635943317,0.8188125291156316,0.2789531381111901
LTP Max_n0_0_1,max(LTP)-LTP(00:00),0,1,-0.1475203941914997,-0.1009224276291805,-0.1342328989361743,-0.05645905557810199,-0.036517769786866675,-0.4266271973320768,-0.6631073220577776,-0.36283636482584153,-0.5784379824049668,-0.7800847362380138,-0.28817530961885374
LTP Min_n0_0_1,min(LTP)-LTP(00:00),0,1,0.2091813994397738,0.18734250054884652,0.08741667197544668,-0.002025256531894119,-0.282984966749623,-0.7030476163376449,-0.8896147475573922,-0.6616023248998293,-0.6324184652512739,-0.6611998321267095,-0.3447524808679615
LTP Area_n0_0_1,mean(LTP)-LTP(00:00),0,1,-0.11534695373465671,-0.05895447451460402,-0.18691986899958296,-0.18583480486775356,-0.0857905692626162,-0.7025656225275259,-0.8691886160641619,-0.6012924518481414,-0.5918197193338343,-0.7544182715550845,-0.3945983665534587
LTP Max_ma_0_1,"max(LTP)-moving_avg(LTP,10D)",0,1,-0.057332166990771566,-0.038859277620851604,-0.1030251451622532,0.006209736290347482,0.06719422028019328,-0.038552662732041464,-0.13018570461983447,0.14340461539959126,-0.13577298125672985,-0.5209187893796019,-0.01840766386908864
LTP Min_ma_0_1,"min(LTP)-moving_avg(LTP,10D)",0,1,0.29416411588526364,0.27237000303154496,0.15864021770630168,0.13281410891646292,0.274767125464257,-0.38977064773534814,-0.606593472440634,-0.2838921402059149,0.19131252336032883,0.3156123721133885,0.026978449529151093
LTP Area_ma_0_1,"mean(LTP)-moving_avg(LTP,10D)",0,1,0.11520811095279426,0.14930970167443225,-0.007969954882308214,-0.0136559606486117,0.33847926704594966,-0.36745126911655485,-0.6351742705862617,-0.00932331115236699,0.21527834787163352,0.058293094460255504,0.039156933272551646
LTP Max_mnvu_0_1,(max(LTP)-mean(LTP))/var(LTP),0,1,0.1627319203069067,0.1443733572137203,0.09943318892677082,0.24426051932310258,-0.013643029662204336,-0.13829886916735676,-0.16371897830071142,-0.17080237371715284,0.44180744630429847,0.7073568457602624,0.05171620379607526
LTP Min_mnvu_0_1,(min(LTP)-mean(LTP))/var(LTP),0,1,-0.22936716191442488,-0.15492851563307608,-0.2470307278243963,-0.007776180339472846,-0.00376797950886467,0.005410449788385073,0.1924699849287205,-0.1319184868649541,-0.5934226349239258,-0.8248408277397749,-0.20047845318906726
LTP Area_n0_1_0_1,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0,1,-0.16858424663347427,-0.05620925264729375,-0.25215406901915555,-0.32909662505859805,0.17011401598213083,0.1805695359881306,0.07694865026682253,0.3894725150629251,0.42938278125805573,0.39045866672010066,0.14102218536731936
LTP diff_R_Neta_Avg_0_1,LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)),0,1,0.03905756341721882,0.09427443796850932,0.13358286841594447,0.16449849893696955,0.16614173287800985,0.7972975772636047,0.9174285569614585,0.5627278260202524,0.5044480459839901,0.5673371657313822,0.3813577163158246
LTP diff_1h_0_1,LTP(sign_change(R_Neta_Avg)-LTP(sign_change(R_Neta_Avg)+1h),0,1,0.11127076924762341,0.046231263447970766,0.16050452423980982,0.14007343594998167,0.24300267615559823,0.8202640493908403,0.9206503974583055,0.7250901895792542,0.6015655852793601,0.6834864491011499,0.45941958323016513
LTP diff_min_0_1,min(LTP(x)-LTP(x-1min)),0,1,0.07089389002361599,0.08983220228766181,-0.027634918751298327,-0.15227515246971918,0.011082070742248085,-0.14399251293898904,-0.29327392437410055,-0.35946666267648575,-0.3306920781582756,-0.35074129751804206,-0.13533668848905528
LTP diff_R_Neta_Avg_norm_0_1,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0,1,-0.08002613669549861,0.10047681002346448,0.05535489959126212,0.14849595259095463,0.009870054708574015,0.34643934046338265,0.6184168272392224,0.5428236158982294,0.3037651194618537,0.32729824143751785,0.2169011337977147
LTP diff_1h_norm_0_1,(LTP(sign_change(R_Neta_Avg))-LTP(sign_change(R_Neta_Avg)+1h))/var(LTP),0,1,-0.053026109642117736,-0.16739181627410418,-0.0895544191018238,0.07020936197583262,0.13724258167810496,0.5215443245502012,0.7395681342009682,0.6720354116366397,0.5273614462648201,0.4642606285800155,0.3017651204134723
LTP diff_min_norm_0_1,min((LTP(x)-LTP(x-1min))/var(LTP)),0,1,-0.05455358965904261,-0.026640396983934743,-0.06372490250342054,-0.10541970687556586,-0.06276648112602431,-0.0040120567246167025,0.06784277207224694,-0.052478520831370376,-0.40054558347073266,-0.6834621195098107,-0.10749741982011093
