Fecha,DDA,Precipitación,ETo,Riego Control,Riego 60RDI,Riego 30RDI
2011-06-07,158,0.0,3.74,23.4676,20.0123,21.6462
2011-06-08,159,0.0,5.58,23.4676,20.0123,21.6462
2011-06-09,160,0.0,4.78,23.4676,20.0123,21.6462
2011-06-10,161,0.0,5.64,23.4676,20.0123,21.6462
2011-06-11,162,0.0,5.81,23.4676,20.0123,21.6462
2011-06-12,163,0.0,6.94,23.4676,20.0123,21.6462
2011-06-13,164,0.0,7.15,23.4676,20.0123,21.6462
2011-06-14,165,0.0,7.06,17.7154,14.9029,12.5792
2011-06-15,166,0.0,6.94,17.7154,14.9029,12.5792
2011-06-16,167,0.0,6.98,17.7154,14.9029,12.5792
2011-06-17,168,0.0,7.65,17.7154,14.9029,12.5792
2011-06-18,169,0.0,7.53,17.7154,14.9029,12.5792
2011-06-19,170,0.0,7.33,17.7154,14.9029,12.5792
2011-06-20,171,0.0,6.95,17.7154,14.9029,12.5792
2011-06-21,172,0.0,7.45,22.0,16.5586,16.8125
2011-06-22,173,0.0,7.58,22.0,,
2011-06-23,174,0.0,7.06,22.0,,
2011-06-24,175,0.0,6.67,22.0,16.5586,
2011-06-25,176,0.0,6.79,22.0,,
2011-06-26,177,0.0,6.53,22.0,,
2011-06-27,178,0.0,7.92,22.0,,
2011-06-28,179,0.0,7.08,22.8069,15.8437,15.5469
2011-06-29,180,0.0,7.13,22.8069,,
2011-06-30,181,0.0,7.07,22.8069,,
2011-07-01,182,0.0,5.95,22.8069,15.8437,
2011-07-02,183,0.0,8.18,22.8069,,
2011-07-03,184,0.0,6.64,22.8069,,
2011-07-04,185,0.0,6.34,22.8069,,
2011-07-05,186,0.0,7.39,20.6049,15.9375,13.7812
2011-07-06,187,0.0,8.33,20.6049,,
2011-07-07,188,0.0,8.17,20.6049,,
2011-07-08,189,0.0,6.9,20.6049,15.9375,
2011-07-09,190,0.0,7.76,20.6049,,
2011-07-10,191,0.0,7.82,20.6049,,
2011-07-11,192,0.0,7.72,20.6049,,
2011-07-12,193,0.0,8.35,22.0804,14.5664,14.4844
2011-07-13,194,0.0,7.24,22.0804,,
2011-07-14,195,0.0,7.38,22.0804,,
2011-07-15,196,0.0,7.51,22.0804,14.5664,
2011-07-16,197,0.0,8.0,22.0804,,
2011-07-17,198,0.0,7.97,22.0804,,
2011-07-18,199,0.0,7.43,22.0804,,
2011-07-19,200,0.0,7.22,21.1417,15.9141,15.9687
2011-07-20,201,0.0,7.32,21.1417,,
2011-07-21,202,0.0,7.85,21.1417,,
2011-07-22,203,0.0,7.65,21.1417,15.9141,
2011-07-23,204,0.0,6.57,21.1417,,
2011-07-24,205,0.0,6.32,21.1417,,
2011-07-25,206,0.0,6.91,21.1417,,
2011-07-26,207,0.0,7.9,28.4263,18.9531,18.6367
2011-07-27,208,0.0,8.27,28.4263,,
2011-07-28,209,0.0,7.46,28.4263,,
2011-07-29,210,0.0,7.31,28.4263,18.9531,18.6367
2011-07-30,211,0.0,8.19,28.4263,,
2011-07-31,212,0.0,7.53,28.4263,18.9531,
2011-08-01,213,0.0,8.32,28.4263,,
2011-08-02,214,0.0,6.18,27.0346,28.6719,29.125
2011-08-03,215,0.0,7.39,27.0346,,
2011-08-04,216,0.0,7.71,27.0346,,
2011-08-05,217,0.0,7.78,27.0346,28.6719,
2011-08-06,218,0.0,7.52,27.0346,,
2011-08-07,219,0.0,7.09,27.0346,,
2011-08-08,220,0.0,7.1,27.0346,,
2011-08-09,221,0.0,7.01,26.5056,28.1367,26.9141
2011-08-10,222,0.0,6.94,26.5056,,
2011-08-11,223,0.0,7.42,26.5056,,
2011-08-12,224,0.0,6.86,26.5056,28.1367,
2011-08-13,225,0.0,6.68,26.5056,,
2011-08-14,226,0.0,7.62,26.5056,,
2011-08-15,227,0.0,7.6,26.5056,,
2011-08-16,228,0.0,7.65,27.0424,26.0352,26.5312
2011-08-17,229,0.0,6.65,27.0424,,
2011-08-18,230,0.0,6.17,27.0424,,
2011-08-19,231,0.0,7.06,27.0424,26.0352,
2011-08-20,232,0.792,8.59,27.0424,,
2011-08-21,233,0.198,5.09,27.0424,,
2011-08-22,234,0.0,5.52,27.0424,,
2011-08-23,235,0.0,6.87,19.7299,21.2991,20.8984
2011-08-24,236,0.0,6.75,19.7299,21.2991,
2011-08-25,237,0.0,7.84,19.7299,21.2991,
2011-08-26,238,0.0,6.65,19.7299,21.2991,20.8984
2011-08-27,239,0.0,6.6,19.7299,21.2991,
2011-08-28,240,0.0,6.52,19.7299,21.2991,
2011-08-29,241,0.0,6.36,19.7299,21.2991,
2011-08-30,242,0.0,7.38,19.7299,21.3002,20.8984
2011-08-31,243,0.594,4.39,19.7299,21.3002,
2011-09-01,244,6.138,2.73,19.7299,21.3002,
2011-09-02,245,5.346,3.11,19.7299,21.3002,20.8984
2011-09-03,246,0.198,4.34,19.7299,21.3002,
2011-09-04,247,0.0,4.88,19.7299,21.3002,
2011-09-05,248,0.0,5.71,19.7299,21.3002,
2011-09-06,249,0.0,5.63,13.8415,13.3047,14.3984
2011-09-07,250,0.0,7.7,13.8415,13.3047,
2011-09-08,251,0.0,6.45,13.8415,13.3047,
2011-09-09,252,0.0,6.39,13.8415,13.3047,14.3984
2011-09-10,253,0.0,5.45,13.8415,13.3047,
2011-09-11,254,0.0,4.74,13.8415,13.3047,
2011-09-12,255,0.0,6.39,13.8415,13.3047,
2011-09-13,256,0.0,6.05,20.5893,22.779,21.7969
2011-09-14,257,0.0,5.94,20.5893,22.779,
2011-09-15,258,0.0,5.65,20.5893,22.779,
2011-09-16,259,0.0,5.11,20.5893,22.779,21.7969
2011-09-17,260,0.0,5.14,20.5893,22.779,
2011-09-18,261,0.0,5.86,20.5893,22.779,
2011-09-19,262,0.0,5.4,20.5893,22.779,
2011-09-20,263,0.0,5.15,18.8661,17.0033,18.9414
2011-09-21,264,0.0,4.89,18.8661,17.0033,
2011-09-22,265,0.0,4.36,18.8661,17.0033,
2011-09-23,266,0.0,3.53,18.8661,17.0033,18.9414
2011-09-24,267,0.198,4.18,18.8661,17.0033,
2011-09-25,268,0.0,5.43,18.8661,17.0033,
2011-09-26,269,0.0,4.55,18.8661,17.0033,
2011-09-27,270,0.0,5.44,14.9074,16.9152,15.7422
2011-09-28,271,0.0,4.55,14.9074,16.9152,
2011-09-29,272,0.0,4.93,14.9074,16.9152,
2011-09-30,273,0.0,5.4,14.9074,16.9152,15.7422
2011-10-01,274,0.0,6.69,14.9074,16.9152,
2011-10-02,275,0.0,4.25,14.9074,16.9152,
2011-10-03,276,0.0,4.13,14.9074,16.9152,
2011-10-04,277,0.0,4.89,17.269,14.9844,17.6719
2011-10-05,278,0.0,5.8,17.269,14.9844,
2011-10-06,279,0.0,4.75,17.269,14.9844,
2011-10-07,280,0.0,4.0,17.269,14.9844,17.6719
2011-10-08,281,0.0,6.15,17.269,14.9844,
2011-10-09,282,0.0,4.23,17.269,14.9844,
2011-10-10,283,0.0,4.16,17.269,14.9844,
2011-10-11,284,0.0,4.4,13.3237,15.5926,17.6836
2011-10-12,285,0.0,4.76,13.3237,15.5926,
2011-10-13,286,0.0,4.46,13.3237,15.5926,
2011-10-14,287,0.0,5.07,13.3237,15.5926,17.6836
2011-10-15,288,0.0,3.52,13.3237,15.5926,
2011-10-16,289,0.0,3.66,13.3237,15.5926,
2011-10-17,290,0.0,4.61,13.3237,15.5926,
2011-10-18,291,0.0,3.27,11.8382,14.6942,15.9258
2011-10-19,292,0.0,3.29,11.8382,14.6942,
2011-10-20,293,0.0,4.65,11.8382,14.6942,
2011-10-21,294,0.0,3.63,11.8382,14.6942,15.9258
2011-10-22,295,0.0,2.35,11.8382,14.6942,
2011-10-23,296,0.0,4.31,11.8382,14.6942,
2011-10-24,297,43.56,3.42,11.8382,14.6942,
2011-10-25,298,0.792,2.32,,,
2011-10-26,299,2.574,3.39,,,
2011-10-27,300,32.08,2.5,,,
2011-10-28,301,0.0,2.12,,,
2011-10-29,302,0.0,2.55,,,
2011-10-30,303,0.0,2.46,,,
2011-10-31,304,0.0,2.36,,,
2011-11-01,305,0.198,2.35,,,
2011-11-02,306,6.336,2.69,,,
2011-11-03,307,31.09,2.19,,,
2011-11-04,308,10.49,1.55,,,
2011-11-05,309,0.0,2.36,,,
2011-11-06,310,0.0,2.16,,,
