Fecha,LTP Control_1_1,LTP Control_2_1,LTP RDI45_2_1,LTP RDI30_3_2
2019-05-05,1,1,1,1
2019-05-06,1,1,1,1
2019-05-07,2,1,1,1
2019-05-29,1,1,1,1
2019-05-30,1,1,1,2
2019-05-31,1,1,1,1
2019-06-01,1,1,1,1
2019-06-02,1,1,1,1
2019-06-09,1,1,1,1
2019-06-10,1,1,1,1
2019-06-11,1,1,1,1
2019-06-12,1,1,1,1
2019-06-13,1,1,1,1
2019-06-14,1,1,1,1
2019-06-15,1,1,1,1
2019-06-16,1,1,1,1
2019-06-17,1,1,1,1
2019-06-18,1,1,1,2
2019-06-19,1,1,1,1
2019-06-20,1,1,1,2
2019-06-21,1,1,1,1
2019-06-22,1,1,1,1
2019-06-23,1,1,1,1
2019-06-24,1,1,1,1
2019-06-25,1,1,1,1
2019-06-26,1,1,1,1
2019-06-27,1,1,1,1
2019-06-28,1,1,1,1
2019-06-29,1,1,1,1
2019-06-30,1,1,1,1
2019-07-01,1,1,1,1
2019-07-02,1,1,1,1
2019-07-03,1,1,1,1
2019-07-04,1,1,1,1
2019-07-05,1,1,1,1
2019-07-06,1,1,1,1
2019-07-07,1,1,1,1
2019-07-08,1,1,1,1
2019-07-09,1,1,1,1
2019-07-10,1,1,1,1
2019-07-11,1,1,1,1
2019-07-12,1,2,1,1
2019-07-13,1,1,1,2
2019-07-14,1,1,1,2
2019-07-15,1,1,1,2
2019-07-16,1,1,1,2
2019-07-17,1,1,1,3
2019-07-18,1,1,1,3
2019-07-27,1,1,3,3
2019-07-28,1,1,3,3
2019-07-29,1,1,3,3
2019-07-30,1,1,3,3
2019-07-31,1,1,3,3
2019-08-01,1,1,3,3
2019-08-02,1,1,3,3
2019-08-03,1,1,3,3
2019-08-04,1,1,3,3
2019-08-05,1,1,3,3
2019-08-06,1,1,3,3
2019-08-07,1,1,3,3
2019-08-08,1,1,3,3
2019-08-09,1,1,3,3
2019-08-10,1,1,3,3
2019-08-11,1,1,3,3
2019-08-12,1,1,3,3
2019-09-22,1,1,1,1
2019-09-23,1,1,1,1
2019-09-24,1,1,1,1
2019-09-25,1,1,1,2
2019-09-26,1,1,1,1
2019-09-27,1,1,1,2
2019-09-28,1,1,1,2
2019-09-29,1,1,1,3
2019-09-30,1,1,1,3
2019-10-01,1,1,1,3
2019-10-02,1,1,1,2
2019-10-03,1,1,1,1
2019-10-04,1,1,1,3
2019-10-05,1,1,1,3
