"Estimador,ventana,f_olvido",Media 1,Varianza 1,Media 2,Varianza 2,Media 3,Varianza 3,Diferencia medias,Varianza max,Relacion varianza,Media base,Varianza base
"LTP Area,1,0",74.15400857983461,3423.298865431094,51.440246581196575,77.97194052329685,101.23166136517617,3218.738681356556,22.713761998638034,3423.298865431094,150.71474578435584,76.73282142229255,3358.199341564796
"LTP Area_ma,1,0",0.9840989798027988,43.66569378404869,9.185677964743588,98.57029647816256,-9.644412933604332,411.74022265973997,8.20157898494079,411.74022265973997,50.20255531474498,-0.05751007603727136,108.6107526369217
"LTP Area_n0,1,0",20.643909343193386,109.83996173670029,12.721323504273501,94.68989623134534,-19.38394839092141,738.2093643317828,7.922585838919884,738.2093643317828,93.1778309936779,15.124492308368495,368.93222710641976
"LTP Area_n0_1,1,0",0.40624948660429006,0.007322540323821474,0.4666355098930502,0.013460485470870762,0.4849151618891677,0.007264681936418438,0.01827965199611753,0.013460485470870762,0.7363644271635846,0.4189403441657896,0.00829690731041786
"LTP Max,1,0",113.49637404580153,4179.627278372964,74.00538461538461,56.578926923076956,141.12146341463415,6296.052722804879,39.49098943041692,6296.052722804879,159.43010832631876,115.45601265822786,4424.6134697649195
"LTP Max_ma,1,0",40.326464445769716,176.80061275001918,31.75081599893163,74.0248214346435,30.24538911585366,270.84030401041156,1.5054268830779698,270.84030401041156,179.90930483229857,38.665681159898035,197.2002297283487
"LTP Max_mnvu,1,0",0.10877359504361878,0.0061925129783220395,0.18015339076297085,0.01789780716765389,0.24885897745475724,0.05080154927269308,0.06870558669178639,0.05080154927269308,0.7394092928802003,0.12988574068668288,0.014581109968645771
"LTP Max_n0,1,0",59.9862748091603,462.83353616940127,35.28646153846154,240.54006476923078,20.505853658536587,216.41915787804882,14.78060787992495,462.83353616940127,31.313565715928547,53.847683544303806,610.3907691439823
"LTP Min,1,0",44.76103816793893,1942.478521554093,31.996923076923075,175.20197307692308,61.36390243902439,1312.7054293902438,12.764115091015853,1942.478521554093,152.18278021649346,46.39010126582278,1822.7897551897129
"LTP Min_ma,1,0",-28.408871432092877,367.24543887015557,-10.257645539529914,103.94313606443329,-49.512171859756094,2271.0713950689724,18.151225892562962,2271.0713950689724,125.11944970061171,-30.400230232507035,664.2238848440652
"LTP Min_mnvu,1,0",-0.06717551659586528,0.001384227742242874,-0.15273922874283863,0.01162093367253853,-0.21077450690335134,0.027677029822596864,0.05803527816051271,0.027677029822596864,0.47690009766212094,-0.08932705729370573,0.007598031633688929
"LTP Min_n0,1,0",-8.74906106870229,95.4491077893598,-6.7219999999999995,19.11384400000001,-59.251707317073176,3086.4221855121955,2.02706106870229,3086.4221855121955,1522.6093743135727,-15.218227848101266,761.8998674018887
"LTP diff_1h,1,0",-10.00310687022901,41.926098371676744,-0.8678461538461547,32.530860974358994,18.070975609756097,490.92969662439026,9.135260716382854,490.92969662439026,53.74008601024099,-5.9847658227848095,188.1492210878441
"LTP diff_1h_norm,1,0",-0.02186469163470886,0.00023660577356079723,0.01152145593598667,0.0041765800412053335,0.037722908688603916,0.007210839723953412,0.026201452752617246,0.007210839723953412,0.2752076303567987,-0.012759908306623843,0.001695807615537203
"LTP diff_R_Neta_Avg,1,0",-0.17389312977099233,0.017274655201661094,-0.0033846153846151463,0.011012256410256301,0.3011707317073174,0.14650499512195275,0.17050851438637718,0.14650499512195275,0.8592239258502261,-0.10524050632911383,0.05918326895720321
"LTP diff_R_Neta_Avg_norm,1,0",-0.00042225187120722453,2.428020229926159e-07,0.0006287832768970055,3.4820746588703813e-06,0.0006377528522472538,4.999703319516554e-06,8.969575350248294e-06,4.999703319516554e-06,0.5574069144062826,-0.00024148082504586818,1.1277677417388825e-06
"LTP diff_min,1,0",-1.8217633587786317,0.6475595606446146,-1.7923076923076982,0.33566389743589536,-2.130390243902446,0.23408064390243952,0.02945566647093356,0.6475595606446146,21.984210110595097,-1.8605949367088668,0.5899818925457108
"LTP diff_min_norm,1,0",-0.00898409330433165,0.00014641812324156124,-0.03278557217047125,0.0005612244671348713,-0.04627394673917476,0.002817885852000147,0.013488374568703512,0.002817885852000147,0.2089121886145099,-0.014801508545117668,0.000670944697755198
