Classifier, Accuracy
LDA, 0.6920320970348744
Nearest Neighbors, 0.6590117640213138
Linear SVM, 0.6861877039402895
RBF SVM, 0.3475321236168629
Gaussian Process, 0.683840209154643
Decision Tree, 0.563477723566946
Random Forest, 0.3999667534827076
Neural Net, 0.6798692559253646
AdaBoost, 0.6228674611809194
Naive Bayes, 0.5396115505709217
QDA, 0.5381448545775603
