,rawTrain20143,rawTrain20146,rawTrain20149,80ZIM4MeteoTrain20143,80ZIM4MeteoTrain20146,80ZIM4MeteoTrain20149,15ZIM4MeteoTrain20143,15ZIM4MeteoTrain20146,15ZIM4MeteoTrain20149
CNN,0.33737981844989945,0.3597132130222392,0.45654181994874343,0.39563224563436544,0.4560566185901796,0.5241806540846171,0.5139398891693508,0.5100410174787092,0.4676848934620575
LDA,0.3371312063641319,0.38214595399649903,0.3466414271964888,0.6056923379034788,0.5819670742259646,0.5581447843385073,0.5130909449867718,0.5080077910640407,0.5019636558097853
Nearest Neighbors,0.44501355941283954,0.4341544633357288,0.4495938996106366,0.5399373238807306,0.5072937695603609,0.5561587351607025,0.5318348267987235,0.5504926154265627,0.5162681666637489
Linear SVM,0.4379098346680414,0.41005012950538217,0.4213925989110144,0.6568184360485837,0.6529217439322234,0.653988575234088,0.559041925236243,0.5266791141450785,0.5404123656107894
RBF SVM,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Gaussian Process,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5371018032039881,0.497207508338102,0.5224034573391574,0.5119004052672295,0.3333333333333333,0.5368291103378543
Decision Tree,0.4347816182579704,0.4514021728668172,0.43819370664097296,0.5164036166590065,0.5362817911122726,0.535877937090596,0.4305991206753643,0.42194431243958275,0.4269194368176921
Random Forest,0.4310268445508639,0.4242930498086861,0.41031610787655254,0.5932651787486445,0.5496764703214753,0.5357142580929527,0.33808673875995304,0.33284813197476953,0.33284813197476953
Neural Net,0.5601496411330946,0.5040662770572175,0.5620401405867597,0.4831152950500251,0.5006484585031205,0.4232995154806372,0.42736129277159657,0.42720896865287045,0.4328539605782509
AdaBoost,0.3968812471608409,0.44828495979142463,0.4229219569680322,0.6036456824988833,0.6126581518433468,0.5626940128711595,0.48600537539264854,0.5077304578139531,0.5003396971980729
Naive Bayes,0.4061425395176152,0.4095018962647792,0.39664043935717747,0.5362174585165493,0.4995519217130666,0.48479142282679394,0.6750277596908267,0.6657275865412272,0.6372734200705464
QDA,0.32679773923306127,0.3060176077259862,0.36065285561846094,0.39875543496181987,0.3333333333333333,0.3333333333333333,0.44892431329875687,0.40553412190330834,0.3341482831880085
BEST,0.5601496411330946,0.5040662770572175,0.5620401405867597,0.6568184360485837,0.6529217439322234,0.653988575234088,0.6750277596908267,0.6657275865412272,0.6372734200705464
